"","city","course1","course2","course3","course4","course5","course6","course7","course8","course9","course10","course11","course12","course13","course14","course15","course16","course17","course18","course19","course20","lon","lat","code","title"
"1","Aalborg","JEMES","Media AC","ADVANCES","DCLead","","","","","","","","","","","","","","","","",9.921747,57.0488195,"Aalborg","Aalborg"
"2","Aarhus","EM-SANF","","","","","","","","","","","","","","","","","","","",10.203921,56.162939,"Aarhus","Aarhus"
"3","Aix-en-Provence","EMLE","","","","","","","","","","","","","","","","","","","",5.447427,43.529742,"Aix-en-Provence","Aix-en-Provence"
"4","Almaty","IMRCEES","","","","","","","","","","","","","","","","","","","",76.8512485,43.2220146,"Almaty","Almaty"
"5","Alnarp","SUFONAMA","","","","","","","","","","","","","","","","","","","",13.0823602,55.6576454,"Alnarp","Alnarp"
"6","Amsterdam","ATOSIM","MUNDUS JOURNALISM","GLOBED","ATOSIM","","","","","","","","","","","","","","","","",4.8951679,52.3702157,"Amsterdam","Amsterdam"
"7","Ankara","MEEES","","","","","","","","","","","","","","","","","","","",32.8597419,39.9333635,"Ankara","Ankara"
"8","Antwerp","MEGEI","EUCOMOR","LIVE","","","","","","","","","","","","","","","","","",4.4024643,51.2194475,"Antwerp","Antwerp"
"9","Augsburg","FAME","","","","","","","","","","","","","","","","","","","",10.89779,48.3705449,"Augsburg","Augsburg"
"10","Aveiro","JEMES","FAME","","","","","","","","","","","","","","","","","","",-8.6536321,40.6413266,"Aveiro","Aveiro"
"11","Bangor","SUFONAMA","","","","","","","","","","","","","","","","","","","",-4.129263,53.22739,"Bangor","Bangor"
"12","Barcelona","MATHMODS","GLOBED","LIVE","EUROPHOTONICS","QEM","JEMES","MIM","MUNDUS MAPP","EUROPHOTONICS","MCM","AMASE","SAHC","CoMEM","IT4BI","EUROPHOTONICS","LIVE","ChIR","EMQAL","EUROPHOTONICS","MUNDUS URBANO",2.1734035,41.3850639,"Barcelona","Barcelona"
"13","Bari","MEGEI","","","","","","","","","","","","","","","","","","","",16.8719083,41.1171488,"Bari","Bari"
"14","Beijing","MARIHE","","","","","","","","","","","","","","","","","","","",116.407395,39.904211,"Beijing","Beijing"
"15","Belfast","ME3","","","","","","","","","","","","","","","","","","","",-5.93012,54.597285,"Belfast","Belfast"
"16","Belgrade","ASTROMUNDUS","","","","","","","","","","","","","","","","","","","",20.4489216,44.786568,"Belgrade","Belgrade"
"17","Bergamo","CWCN","","","","","","","","","","","","","","","","","","","",9.6772698,45.6982642,"Bergamo","Bergamo"
