"","Var1","Freq"
"1","Aalborg",3
"2","Aarhus",1
"3","Aix-en-Provence",1
"4","Algarve",1
"5","Almaty",1
"6","Alnarp",1
"7","Amsterdam",4
"8","Ancona",1
"9","Angers",1
"10","Ankara",1
"11","Antwerp",3
"12","Augsburg",1
"13","Aveiro",1
"14","Baltimore",1
"15","Bangor",1
"16","Barcelona",20
"17","Bari",1
"18","Beijing",1
"19","Belfast",1
"20","Belgrade",1
"21","Bergamo",1
"22","Bergen",3
"23","Berlin",3
"24","Bernburg",1
"25","Besançon",1
"26","Bielefeld",1
"27","Bilbao",3
"28","Bologna",7
"29","Bolzano",1
"30","Bonn",1
"31","Bordeaux",5
"32","Braga",1
"33","Brasilia",2
"34","Brasov",1
"35","Brisbane",1
"36","Brussels",5
"37","Budapest",8
"38","Cachan",1
"39","Cadiz",2
"40","Caen",1
"41","Cairo",1
"42","Cambridge",1
"43","Campo Grande",1
"44","Cardiff",1
"45","Cassino",1
"46","Castellón de la Plana",2
"47","Catania",1
"48","Chania",1
"49","Chennai",1
"50","Chicago",1
"51","Clermont-Ferrand",1
"52","Cluj",1
"53","Coimbra",6
"54","Constantine",1
"55","Copenhagen",2
"56","Cork",1
"57","Cottbus",1
"58","Cranfield",1
"59","Dakar",2
"60","Darmstadt",2
"61","Debrecen",1
"62","Delft",3
"63","Dijon",1
"64","Dresden",3
"65","Dschang",1
"66","Dublin",3
"67","Edinburgh",7
"68","Einhoven",1
"69","Enschede",1
"70","Evora",2
"71","Faro",4
"72","Ferrara",1
"73","Florence",1
"74","Freiberg",1
"75","Freiburg",1
"76","Galati",1
"77","Galway",1
"78","Gdansk",2
"79","Geisenheim",1
"80","Genova",3
"81","Ghent",4
"82","Giessen",1
"83","Girona",2
"84","Giza",1
"85","Gjovik",1
"86","Glasgow",4
"87","Gothenburg",3
"88","Göttingen",6
"89","Granada",3
"90","Grenoble",4
"91","Groningen",6
"92","Guelph",1
"93","Haifa",1
"94","Hamburg",3
"95","Heidelberg",1
"96","Helsinki",3
"97","Henan",1
"98","Heraklion",1
"99","Hildesheim",1
"100","Hohai",1
"101","Hong Kong",1
"102","Hull",1
"103","Incheon",1
"104","Indianapolis",1
"105","Innsbruck",1
"106","Istanbul",1
"107","Ivanovo",1
"108","Joensuu",3
"109","Johannesburg",2
"110","Kaiserslautern",2
"111","Kampala",1
"112","Karlskrona",1
"113","Karlsruhe",2
