"","code","X","title","website","uni","country","city","lat","lon","xmin","ymin","xmax","ymax"
"1","4CITIES",1,"4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Free University of Brussels","Belgium","Brussels",50.8503,"4.3517",-5.7038,3.6761,18.3738,52.8503
"2","4CITIES",310,"4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","University of Copenhagen","Denmark","Copenhagen",5.6761,"12.5683",-5.7038,3.6761,18.3738,52.8503
"3","4CITIES",104,"4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Free University of Brussels","Belgium","Brussels",50.8503,"4.3517",-5.7038,3.6761,18.3738,52.8503
"4","4CITIES",516,"4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Complutense University of Madrid","Spain","Madrid",40.4168,"-3.7038",-5.7038,3.6761,18.3738,52.8503
"5","4CITIES",207,"4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","University of Vienna","Austria","Vienna",48.2082,"16.3738",-5.7038,3.6761,18.3738,52.8503
"6","4CITIES",413,"4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Autonomous University of Madrid","Spain","Madrid",40.4168,"-3.7038",-5.7038,3.6761,18.3738,52.8503
"7","ACES",105,"ACES - Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of Crete","Greece","Heraklion",35.3387,"25.1442",-7.471,33.3387,27.1442,58.4152
"8","ACES",208,"ACES - Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of Nantes","France","Nantes",47.2184,"-1.5536",-7.471,33.3387,27.1442,58.4152
"9","ACES",2,"ACES - Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of the Highlands and Islands","UK","Oban",56.4152,"-5.471",-7.471,33.3387,27.1442,58.4152
"10","ADVANCES",106,"ADVANCES - MA Advanced Development in Social Work","http://www.socialworkadvances.org/","Aalborg University","Denmark","Aalborg",57.0488,"9.9217",-11.1393,36.7223,23.0122,59.0488
