X,Y,field_1,city,course1,course2,course3,course4,course5,course6,course7,course8,course9,course10,course11,course12,course13,course14,course15,course16,lon,lat,website1,website2,website3,website4,website5,website6,website7,website8,website9,website10,website11,website12,website13,website14,website15,website16,code,title
9.921747,57.0488195,1,Aalborg,JEMES,Media AC,ADVANCES,DCLead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.921747,57.0488195,http://www.jemes-cisu.eu/,http://www.mediaartscultures.eu/,http://www.socialworkadvances.org/,http://www.dclead.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aalborg,Aalborg
10.203921,56.162939,2,Aarhus,EM-SANF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.203921,56.162939,http://www.emsanf.eu/UK/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aarhus,Aarhus
5.447427,43.529742,3,Aix-en-Provence,EMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.447427,43.529742,http://www.emle.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aix-en-Provence,Aix-en-Provence
76.8512485,43.2220146,4,Almaty,IMRCEES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.8512485,43.2220146,http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Almaty,Almaty
13.0823602,55.6576454,5,Alnarp,SUFONAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0823602,55.6576454,http://sufonama.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alnarp,Alnarp
4.8951679,52.3702157,6,Amsterdam,ATOSIM,MUNDUS JOURNALISM,GLOBED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8951679,52.3702157,http://www.erasmusmundus-atosim.cecam.org/,http://www.mundusjournalism.com/,http://globed.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amsterdam,Amsterdam
32.8597419,39.9333635,7,Ankara,MEEES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8597419,39.9333635,http://www.meees.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ankara,Ankara
4.4024643,51.2194475,8,Antwerp,MEGEI,EUCOMOR,LIVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4024643,51.2194475,http://www.ua.ac.be/egei,http://www.eucomor.net/,http://live.univ-lyon1.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antwerp,Antwerp
10.89779,48.3705449,9,Augsburg,FAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.89779,48.3705449,http://www.fame-master.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Augsburg,Augsburg
-8.6536321,40.6413266,10,Aveiro,JEMES,FAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.6536321,40.6413266,http://www.jemes-cisu.eu/,http://www.fame-master.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aveiro,Aveiro
