id	variable	value	cluster	label
1	1	0	0.56	2	W 52 St & 11 Ave
2	1	12	0	2	W 52 St & 11 Ave
3	1	4	1.09	2	W 52 St & 11 Ave
4	1	20	0	2	W 52 St & 11 Ave
5	1	2	1.64	2	W 52 St & 11 Ave
6	1	3	1.31	2	W 52 St & 11 Ave
7	1	7	1.2	2	W 52 St & 11 Ave
8	1	23	0.9	2	W 52 St & 11 Ave
9	1	17	0.22	2	W 52 St & 11 Ave
10	1	10	0	2	W 52 St & 11 Ave
11	1	13	0	2	W 52 St & 11 Ave
12	1	1	1.55	2	W 52 St & 11 Ave
13	1	8	0	2	W 52 St & 11 Ave
14	1	21	0.88	2	W 52 St & 11 Ave
15	1	6	1.96	2	W 52 St & 11 Ave
16	1	16	0	2	W 52 St & 11 Ave
17	1	11	0	2	W 52 St & 11 Ave
18	1	15	0	2	W 52 St & 11 Ave
19	1	9	0	2	W 52 St & 11 Ave
20	1	19	0.22	2	W 52 St & 11 Ave
21	1	18	0.11	2	W 52 St & 11 Ave
22	1	5	0.76	2	W 52 St & 11 Ave
23	1	14	0	2	W 52 St & 11 Ave
24	1	22	0.44	2	W 52 St & 11 Ave
25	2	21	0.22	2	Franklin St & W Broadway
26	2	4	0	2	Franklin St & W Broadway
27	2	8	2.51	2	Franklin St & W Broadway
28	2	1	0	2	Franklin St & W Broadway
29	2	20	0.22	2	Franklin St & W Broadway
30	2	9	7.41	2	Franklin St & W Broadway
31	2	12	10.36	2	Franklin St & W Broadway
32	2	0	0	2	Franklin St & W Broadway
33	2	5	0	2	Franklin St & W Broadway
34	2	14	8.51	2	Franklin St & W Broadway
35	2	23	0.23	2	Franklin St & W Broadway
36	2	11	15.25	2	Franklin St & W Broadway
37	2	16	7.08	2	Franklin St & W Broadway
38	2	13	9.15	2	Franklin St & W Broadway
39	2	18	0.77	2	Franklin St & W Broadway
40	2	17	3.94	2	Franklin St & W Broadway
41	2	3	0	2	Franklin St & W Broadway
42	2	10	15.58	2	Franklin St & W Broadway
43	2	19	0.11	2	Franklin St & W Broadway
44	2	7	0.33	2	Franklin St & W Broadway
45	2	22	0	2	Franklin St & W Broadway
46	2	6	0	2	Franklin St & W Broadway
47	2	15	7.42	2	Franklin St & W Broadway
48	2	2	0	2	Franklin St & W Broadway
49	3	17	0.44	2	St James Pl & Pearl St
50	3	16	0.87	2	St James Pl & Pearl St
51	3	5	6.54	2	St James Pl & Pearl St
52	3	9	0.98	2	St James Pl & Pearl St
53	3	20	5.37	2	St James Pl & Pearl St
54	3	8	0.76	2	St James Pl & Pearl St
55	3	12	2.07	2	St James Pl & Pearl St
56	3	10	0.65	2	St James Pl & Pearl St
57	3	1	7.96	2	St James Pl & Pearl St
58	3	22	3.95	2	St James Pl & Pearl St
59	3	21	4.61	2	St James Pl & Pearl St
60	3	6	3.49	2	St James Pl & Pearl St
61	3	0	7.44	2	St James Pl & Pearl St
62	3	4	7.84	2	St James Pl & Pearl St
63	3	2	8.31	2	St James Pl & Pearl St
64	3	11	0.76	2	St James Pl & Pearl St
65	3	14	1.42	2	St James Pl & Pearl St
