variable	value	label
1	0	0.56	W 52 St & 11 Ave
2	12	0	W 52 St & 11 Ave
3	4	1.09	W 52 St & 11 Ave
4	20	0	W 52 St & 11 Ave
5	2	1.64	W 52 St & 11 Ave
6	3	1.31	W 52 St & 11 Ave
7	7	1.2	W 52 St & 11 Ave
8	23	0.9	W 52 St & 11 Ave
9	17	0.22	W 52 St & 11 Ave
10	10	0	W 52 St & 11 Ave
11	13	0	W 52 St & 11 Ave
12	1	1.55	W 52 St & 11 Ave
13	8	0	W 52 St & 11 Ave
14	21	0.88	W 52 St & 11 Ave
15	6	1.96	W 52 St & 11 Ave
16	16	0	W 52 St & 11 Ave
17	11	0	W 52 St & 11 Ave
18	15	0	W 52 St & 11 Ave
19	9	0	W 52 St & 11 Ave
20	19	0.22	W 52 St & 11 Ave
21	18	0.11	W 52 St & 11 Ave
22	5	0.76	W 52 St & 11 Ave
23	14	0	W 52 St & 11 Ave
24	22	0.44	W 52 St & 11 Ave
25	21	0.22	Franklin St & W Broadway
26	4	0	Franklin St & W Broadway
27	8	2.51	Franklin St & W Broadway
28	1	0	Franklin St & W Broadway
29	20	0.22	Franklin St & W Broadway
30	9	7.41	Franklin St & W Broadway
31	12	10.36	Franklin St & W Broadway
32	0	0	Franklin St & W Broadway
33	5	0	Franklin St & W Broadway
34	14	8.51	Franklin St & W Broadway
35	23	0.23	Franklin St & W Broadway
36	11	15.25	Franklin St & W Broadway
37	16	7.08	Franklin St & W Broadway
38	13	9.15	Franklin St & W Broadway
39	18	0.77	Franklin St & W Broadway
40	17	3.94	Franklin St & W Broadway
41	3	0	Franklin St & W Broadway
42	10	15.58	Franklin St & W Broadway
43	19	0.11	Franklin St & W Broadway
44	7	0.33	Franklin St & W Broadway
45	22	0	Franklin St & W Broadway
46	6	0	Franklin St & W Broadway
47	15	7.42	Franklin St & W Broadway
48	2	0	Franklin St & W Broadway
49	17	0.44	St James Pl & Pearl St
50	16	0.87	St James Pl & Pearl St
51	5	6.54	St James Pl & Pearl St
52	9	0.98	St James Pl & Pearl St
53	20	5.37	St James Pl & Pearl St
54	8	0.76	St James Pl & Pearl St
55	12	2.07	St James Pl & Pearl St
56	10	0.65	St James Pl & Pearl St
57	1	7.96	St James Pl & Pearl St
58	22	3.95	St James Pl & Pearl St
59	21	4.61	St James Pl & Pearl St
60	6	3.49	St James Pl & Pearl St
61	0	7.44	St James Pl & Pearl St
62	4	7.84	St James Pl & Pearl St
63	2	8.31	St James Pl & Pearl St
64	11	0.76	St James Pl & Pearl St
65	14	1.42	St James Pl & Pearl St
66	23	4.95	St James Pl & Pearl St
67	13	2.4	St James Pl & Pearl St
68	15	0.98	St James Pl & Pearl St
69	19	2.63	St James Pl & Pearl St
70	7	1.63	St James Pl & Pearl St
71	18	1.43	St James Pl & Pearl St
72	3	8.39	St James Pl & Pearl St
73	21	5.15	W 17 St & 8 Ave
74	8	1.86	W 17 St & 8 Ave
75	6	0.87	W 17 St & 8 Ave
76	5	1.09	W 17 St & 8 Ave
77	4	0.22	W 17 St & 8 Ave
78	17	0.55	W 17 St & 8 Ave
79	16	1.42	W 17 St & 8 Ave
80	18	0.33	W 17 St & 8 Ave
81	13	8.82	W 17 St & 8 Ave
82	11	6.75	W 17 St & 8 Ave
83	20	2.63	W 17 St & 8 Ave
84	9	7.52	W 17 St & 8 Ave
85	23	3.94	W 17 St & 8 Ave
86	22	4.06	W 17 St & 8 Ave
87	12	11.45	W 17 St & 8 Ave
88	0	2.44	W 17 St & 8 Ave
89	1	2.1	W 17 St & 8 Ave
90	7	2.07	W 17 St & 8 Ave
91	2	1.42	W 17 St & 8 Ave
92	14	5.56	W 17 St & 8 Ave
93	19	1.54	W 17 St & 8 Ave
94	3	0.65	W 17 St & 8 Ave
95	10	7.73	W 17 St & 8 Ave
96	15	2.84	W 17 St & 8 Ave
97	21	16.56	Barrow St & Hudson St
98	17	5.04	Barrow St & Hudson St
99	22	13.05	Barrow St & Hudson St
100	6	4.36	Barrow St & Hudson St
101	20	14.02	Barrow St & Hudson St
102	4	11.55	Barrow St & Hudson St
103	13	0.87	Barrow St & Hudson St
104	8	0.11	Barrow St & Hudson St
105	14	0.87	Barrow St & Hudson St
106	9	0.98	Barrow St & Hudson St
107	23	17.91	Barrow St & Hudson St
108	2	12.24	Barrow St & Hudson St
109	16	2.72	Barrow St & Hudson St
110	19	11.29	Barrow St & Hudson St
111	1	12.15	Barrow St & Hudson St
112	7	1.42	Barrow St & Hudson St
113	5	9.48	Barrow St & Hudson St
