	variable	value	citibike_station_id	label
1	0	0.56	72	W 52 St & 11 Ave
52	0	0	79	Franklin St & W Broadway
76	0	7.44	82	St James Pl & Pearl St
99	0	2.44	116	W 17 St & 8 Ave
121	0	14.89	127	Barrow St & Hudson St
156	0	2.56	128	MacDougal St & Prince St
180	0	0	137	Henry St & Grand St
205	0	0.11	146	Hudson St & Reade St
225	0	3.22	147	Greenwich St & Warren St
252	0	36.33	150	E 2 St & Avenue C
270	0	0	151	Cleveland Pl & Spring St
306	0	2.22	152	Warren St & Church St
331	0	0	153	E 40 St & 5 Ave
356	0	0	160	E 37 St & Lexington Ave
382	0	1	161	LaGuardia Pl & W 3 St
413	0	0	164	E 47 St & 2 Ave
441	0	0	167	E 39 St & 3 Av
464	0	0	168	W 18 St & 6 Av
493	0	0	173	Broadway & W 49 St
519	0	21.78	174	E 25 St & 1 Ave
522	0	0	195	Liberty St & Broadway
572	0	0	212	W 16 St & The High Line
585	0	52.33	223	W 13 St & 7 Ave
616	0	0	224	Spruce St & Nassau St
643	0	1.56	225	W 14 St & The High Line
657	0	0	228	E 48 St & 3 Ave
694	0	0.33	229	Great Jones St
720	0	18.44	236	St Marks Pl & 2 Ave
749	0	13.56	237	E 11 Street & 2 Avenue
772	0	12.44	238	Bank St & Washington St
804	0	26	247	Perry St & Bleecker St
814	0	0.67	248	Laight St & Hudson St
848	0	0	249	Harrison St & Hudson St
884	0	0	250	Lafayette St & Jersey St
907	0	7	251	Mott St & Prince St
934	0	1.22	252	MacDougal St & Washington Sq
956	0	0	253	W 13 St & 5 Ave
984	0	2.22	254	W 11 St & 6 Ave
1001	0	0.67	257	Lispenard St & Broadway
1033	0	0	259	South St & Whitehall St
1052	0	0	260	Broad St & Bridge St
1085	0	2.11	263	Elizabeth St & Hester St
1118	0	2.56	264	Maiden Ln & Pearl St
1143	0	7.89	265	Stanton St & Chrystie St
1158	0	46.78	266	Avenue D & E 8 St
1181	0	8.11	268	Howard St & Centre St
1208	0	3.22	276	Duane St & Greenwich St
1240	0	2	280	E 10 St & 5 Ave
1271	0	0	281	Grand Army Plaza & Central Park S
1290	0	6.44	284	Greenwich Ave & 8 Ave
1305	0	0	285	Broadway & E 14 St
1335	0	43.56	291	Madison St & Montgomery St
1373	0	26.47	293	Lafayette St & E 8 St
1402	0	13.33	295	Pike St & E Broadway
1427	0	1.78	296	Division St & Bowery
1454	0	1.11	297	E 15 St & 3 Ave
1473	0	1.6	300	Cooper Square & E 7 St
1503	0	29.89	301	E 2 St & Avenue B
1533	0	54	302	Avenue D & E 3 St
1558	0	0.56	303	Mercer St & Spring St
1586	0	0.33	304	Broadway & Battery Pl
1610	0	0	305	E 58 St and 3 Ave
1635	0	3.44	306	Cliff St & Fulton St
1655	0	14.67	307	Canal St & Rutgers St
1678	0	9.56	308	St James Pl & Oliver St
1716	0	2.44	309	Murray St & West St
1740	0	11.78	311	Norfolk St & Broome St
1764	0	25.33	312	Allen St & E Houston St
1791	0	0.22	315	South St & Gouverneur Ln
1819	0	0	316	Fulton St & William St
1827	0	47.11	317	E 6 St & Avenue B
1870	0	0.67	319	Park Pl & Church St
1894	0	0	320	Church St & Leonard St
1908	0	2.44	325	E 19 St & 3 Ave
1947	0	20.56	326	E 11 St & 1 Ave
1966	0	2.89	327	Vesey Pl & River Terrace
1989	0	16.11	328	Watts St & Greenwich St
2017	0	0.78	329	Greenwich St & N Moore St
2053	0	0	330	Reade St & Broadway
2076	0	19.11	331	Pike St & Monroe St
2104	0	38	332	Cherry St
2124	0	2.44	334	W 20 St & 7 Ave
2147	0	0	335	Washington Pl & Broadway
2161	0	2.22	336	Sullivan St & Washington Sq
2205	0	0	337	Old Slip & Front St
2232	0	27.78	339	Avenue D & E 12 St
2259	0	37.33	340	Madison St & Clinton St
2285	0	31.11	341	Stanton St & Mangin St
2300	0	38	342	Columbia St & Rivington St
2328	0	0	345	W 13 St & 6 Ave
2356	0	17.89	346	Bank St & Hudson St
2387	0	0.89	347	W Houston St & Hudson St
2415	0	2.22	348	W Broadway & Spring St
2437	0	33.78	349	Rivington St and Ridge St
2462	0	35	350	Clinton St & Grand St
2489	0	0.67	351	Front St & Maiden Ln
2521	0	20	352	W 56 St & 6 Ave
2544	0	1.22	355	Bayard St & Baxter St
2568	0	21.56	356	Bialystoker Pl & Delancey St
2594	0	0	357	E 11 St & Broadway
2624	0	21.33	358	Christopher St & Greenwich St
2644	0	0.22	359	E 47 St & Park Av
2672	0	0	360	William St & Pine St
2702	0	12.67	361	Allen St & Hester St
2721	0	0	362	Broadway & W 37 St
2752	0	9.67	363	West Thames St
2775	0	0	367	E 53 St and Lexington Ave
2802	0	3.11	368	Carmine St & 6 Ave
2829	0	1.67	369	Washington Pl & 6 Ave
2860	0	4	375	Mercer St & Bleecker St
2886	0	0.89	376	John St & William St
2893	0	0	377	6 Ave & Canal St
2919	0	0.11	379	W 31 St & 7 Ave
2955	0	3.44	380	W 4 St & 7 Ave S
2987	0	0	382	University Pl & E 14 St
3013	0	3	383	Greenwich Ave & 7 Ave
3032	0	2.78	385	E 55 St & 2 Ave
3062	0	0	386	Centre St & Worth St
3088	0	0	387	Centre St & Chambers St
3102	0	1.33	388	W 26 St & 10 Ave
3138	0	33.33	393	E 5 St & Avenue C
3158	0	23.56	394	E 9 St & Avenue C
3177	0	61.67	400	Pitt St & Stanton St
3203	0	30.44	401	Allen St & Rivington St
3231	0	0.48	402	Broadway & E 22 St
3253	0	1.22	405	Washington St & Gansevoort St
3294	0	25.78	408	Market St & Cherry St
3325	0	26.22	410	Suffolk St & Stanton St
3330	0	49.78	411	E 6 St & Avenue D
3371	0	2.11	412	Forsyth St & Canal St
3393	0	0	415	Pearl St & Hanover Square
3413	0	4.67	417	Barclay St & Church St
3457	0	0	422	W 59 St & 10 Ave
3480	0	0	423	W 54 St & 9 Ave
3507	0	1.44	426	West St & Chambers St
3530	0	0	427	State St
3558	0	8.44	428	E 3 St & 1 Ave
3585	0	28.22	432	E 7 St & Avenue A
3605	0	32.89	433	E 13 St & Avenue A
3635	0	3.78	434	9 Ave & W 18 St
3652	0	0	435	W 21 St & 6 Ave
3689	0	25.67	438	St Marks Pl & 1 Ave
3707	0	2.67	439	E 4 St & 2 Ave
3732	0	0	440	E 45 St & 3 Ave
3759	0	0	441	E 52 St & 2 Ave
3786	0	20.67	442	W 27 St & 7 Ave
3813	0	1.11	444	Broadway & W 24 St
3831	0	38	445	E 10 St & Avenue A
3872	0	10	446	W 24 St & 7 Ave
3894	0	0	447	8  Ave & W 52 St
3922	0	26.67	448	W 37 St & 10 Ave
3944	0	0	449	52 St & 9 Ave
3954	0	18.78	453	W 22 St & 8 Ave
3997	0	2	455	1 Ave & E 44 St
4015	0	0	456	E 53 St & Madison Ave
4038	0	0.67	457	Broadway & W 57 St
4065	0	0.44	458	W 22 St & 11 Ave
4092	0	0	459	W 18 St & 11 Ave
4116	0	20.89	461	E 20 St & 2 Ave
4149	0	6.78	462	W 22 St & 10 Ave
4177	0	2	463	9 Ave & W 16 St
4206	0	20.67	465	Broadway & W 41 St
4237	0	0	466	W 25 St & 6 Ave
4254	0	0	468	Broadway & W 55 St
4273	0	0	469	Broadway & W 53 St
4296	0	9.89	470	W 20 St & 8 Ave
4327	0	0	472	E 32 St & Park Av
4359	0	9.44	473	Rivington St & Chrystie St
4369	0	0	474	5 Ave & E 29 St
4404	0	0.78	475	E 16 St & Irving Pl
4424	0	0.89	476	E 31 St & 3 Ave
4462	0	3.11	477	W 41 St & 8 Ave
4490	0	19.67	478	11 Ave & W 41 St
4508	0	3.44	479	9 Ave & W 45 St
4545	0	11.67	480	W 53 St & 10 Ave
4561	0	14	482	W 15 St & 7 Ave
4597	0	3.89	483	E 12 St & 3 Ave
4619	0	0	484	W 44 St & 5 Ave
4651	0	0	485	W 37 St & 5 Ave
4674	0	0	486	Broadway & W 29 St
4688	0	35.56	487	E 20 St & FDR Drive
4730	0	8.33	488	W 39 St & 9 Ave
4744	0	0.67	489	10 Ave & W 28 St
4762	0	1.33	490	W 33 St & 8 Ave
4798	0	0	491	E 24 St & Park Ave S
4834	0	0.22	492	W 33 St & 7 Ave
4852	0	0	493	W 45 St & 6 Ave
4870	0	2	494	W 26 St & 8 Ave
4910	0	29.22	495	W 47 St & 10 Ave
4934	0	0.44	496	E 16 St & 5 Ave
4957	0	0	497	E 17 St & Broadway
4989	0	0	498	Broadway & W 32 St
5002	0	0	499	Broadway & W 60 St
5033	0	0	500	Broadway & W 51 St
5058	0	0.67	501	FDR Drive & E 35 St
5084	0	0	503	E 20 St & Park Ave
5111	0	32.78	504	1 Ave & E 15 St
5133	0	0.33	505	6 Ave & W 33 St
5161	0	3.56	507	E 25 St & 2 Ave
5188	0	15	508	W 46 St & 11 Ave
5216	0	23.67	509	9 Ave & W 22 St
5234	0	36	510	W 51 St & 6 Ave
5264	0	24.33	511	E 14 St & Avenue B
5279	0	0	513	W 56 St & 10 Ave
5306	0	11.44	514	12 Ave & W 40 St
5335	0	14.67	515	W 43 St & 10 Ave
5360	0	6	516	E 47 St & 1 Ave
5393	0	0.89	517	Pershing Square S
5416	0	0	518	E 39 St & 2 Ave
5452	0	0	519	Pershing Square N
5482	0	0	520	W 52 St & 5 Ave
5511	0	0.44	521	8 Ave & W 31 St
5530	0	15.33	522	E 51 St & Lexington Ave
5547	0	1.56	523	W 38 St & 8 Ave
5583	0	0.78	524	W 43 St & 6 Ave
5601	0	0	525	W 34 St & 11 Ave
5624	0	1.11	526	E 33 St & 5 Ave
5651	0	0	527	E 33 St & 1 Ave
5673	0	0.33	528	2 Ave & E 30 St
