field_1,code,title,website,uni,country,city,lat,lon,xmin,ymin,xmax,ymax
1,4CITIES,4CITIES - UNICA Euromaster in Urban Studies,http://www.4cities.eu/,Free University of Brussels,Belgium,Brussels,50.8503,4.3517,-5.7038,3.6761,18.3738,52.8503
2,ACES,"ACES - Joint Masters Degree in Aquaculture, Environment and Society",http://www.sams.ac.uk/aces-erasmus,University of the Highlands and Islands,UK,Oban,56.4152,-5.471,-7.471,33.3387,27.1442,58.4152
3,ADVANCES,ADVANCES - MA Advanced Development in Social Work,http://www.socialworkadvances.org/,University of Lincoln,UK,Lincoln,53.2307,-0.5406,-11.1393,36.7223,23.0122,59.0488
4,AMASE,AMASE - Joint European Master Programme on Advanced Materials Science and Engineering,http://www.amase-master.net/,Saarland University,Germany,SaarbrÃ_cken,49.2402,6.9969,0.1734,39.3851,24.1567,67.5848
5,ARCHMAT,ARCHMAT - European Master in ARCHaeological MATerials Science,http://www.erasmusmundus-archmat.uevora.pt/,University of Evora,Portugal,Evora,38.5707,-7.9093,-9.9093,36.5707,24.9444,43.9028
6,ASC,ASC - Advanced Spectroscopy in Chemistry Master's Course,http://www.master-asc.org/,University of Bologna,Italy,Bologna,44.4949,11.3426,1.0573,42.4949,26.9384,62.1699
7,ASTROMUNDUS,ASTROMUNDUS - Astrophysics,http://www.astromundus.eu/,University of Innsbruck,Austria,Innsbruck,47.2692,1.4041,-0.5959,39.9028,22.4489,53.5413
8,ATOSIM,"ATOSIM - Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems",http://www.erasmusmundus-atosim.cecam.org/,University of Lyon,France,Lyon,45.764,4.8357,2.8357,39.9028,14.4964,54.3702
9,BIFTEC,"BIFTEC - European Master of Science in Food Science, Technology and Business",http://www.fet.kuleuven.be/biftec,University of Leuven,Belgium,Ghent,51.0543,3.7174,-10.6291,39.1579,13.7537,53.7834
10,CARTO,CARTO E+ JMD Cartography,http://www.cartographymaster.eu/,Technical University of Munich,Germany,Munich,48.1351,11.582,4.8937,46.1351,18.3738,54.2215
11,ChIR,ChIR - Erasmus Mundus Master in Chemical Innovation and Regulation,http://www.emmcchir.org/,University of Algarve,Portugal,Faro,37.0194,-7.9304,-9.9304,35.0194,13.3426,57.9533
12,CHOREOMUNDUS,"CHOREOMUNDUS - International Master in Dance Knowledge, Practice and Heritage",https://www.ntnu.edu/studies/choreomundus,Norwegian University of Science and Technology,Norway,Trondheim,63.4305,10.3951,-2.1278,43.7772,22.1414,65.4305
13,CLE,CLE - Master Erasmus Mundus en  en Cultures LittÃ©raires EuropÃ©ennes,http://www.cle.unibo.it/site/,University of Bologna,Italy,Bologna,44.4949,11.3426,-19.366,12.7645,24.9444,50.5734
14,CoDe,CoDe - Joint European Master in Comparative Local Development,http://www.erasmusmundus-code.eu/,Corvinus University of Budapest,Hungary,Budapest,47.4979,19.0402,9.1217,44.0569,21.0402,51.0134
15,CoMEM,CoMEM - Erasmus Mundus MSC Coastal and Marine Engineering and Management,http://www.ntnu.edu/studies/mscomem,Norwegian University of Science and Technology,Norway,Trondheim,63.4305,10.3951,-3.4044,39.3851,12.3951,65.4305
16,COSI,COSI Colour in Science and Industry,http://www.master-colorscience.eu/,University Jean Monnet,France,Saint-Etienne,45.4397,4.3872,-5.5986,35.1773,31.7636,64.601
17,CWCN,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,University of Bergamo,Italy,Bergamo,45.6983,9.6773,-11.1393,36.7223,18.9252,58.3398
18,DCLead,DCLead - Msc Digital Communication Leadership,http://www.dclead.eu/,University of Salzburg,Austria,Salzburg,47.8095,13.055,2.3517,45.8095,15.055,59.0488
19,DESEM,DESEM - Erasmus Mundus MSc in Dependable Software Systems,http://www.cs.nuim.ie/courses/desem/,National University of Ireland Maynooth,Ireland,Maynooth,53.3813,-6.5918,-8.5918,46.6921,8.1844,58.3398
20,Dyclam,Dyclam - Dynamics of cultural landscapes and heritage management,http://www.dyclam.eu/fr/,University Jean Monnet,France,Saint-Etienne,45.4397,4.3872,-10.4043,37.6052,16.2681,50.8566
21,EACH,EACH - Excellence in Analytical Chemistry,http://www.analyticalchemistry.eu/,University of Tartu,Estonia,Tartu,58.3776,6.729,2.8357,43.764,24.2666,62.4518
22,EDAMUS,EDAMUS - Sustainable Management of Food Quality,http://www.master-edamus.eu/,University of Montpellier,France,Montpellier,43.6108,3.8767,-2.8897,33.5138,26.018,45.6108
23,EM HRPP,EM HRPP - Erasmus Mundus Masters in Human Rights Policy and Practice,http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html,Roehampton University,UK,London,51.5074,-0.1278,-4.935,41.263,13.9746,59.7089
24,EMARO+,EMARO+ - European Master on Advanced Robotics +,http://emaro.irccyn.ec-nantes.fr/,Ã‰cole centrale de Nantes,France,Nantes,47.2184,-1.5536,-3.5536,37.9864,23.0122,54.2297
25,EMECC NURSING,EMECC NURSING - Emergency and Critical Care Nursing,http://masternursing.uniovi.es/,University of Oviedo,Spain,Oviedo,43.3619,-5.8494,-10.686,35.0194,26.9384,62.1699
26,EMECS,EMECS - European Masters programme in Embedded Computing Systems,http://www.emecs.eu/,University of Kaiserslautern,Germany,Kaiserslautern,49.4401,7.7491,-3.4044,47.4401,12.3951,65.4305
27,EMERALD,EMERALD - Master Course in Georesources Engineering,http://em-georesources.eu/,University of LiÃ¨ge,Belgium,LiÃ¨ge,50.5831,5.5591,3.5591,46.6921,24.1567,67.5848
28,EMGS,EMGS - Global Studies - A European Perspective,http://www.globalstudies-masters.info/,London School of Economics and Political Sciences,UK,London,51.5074,-0.1278,-2.1278,46.2082,19.0385,57.6419
29,EMLE,EMLE - European Master in Law and Economics,http://www.emle.org/,Erasmus University Rotterdam,Netherlands,Rotterdam,51.9244,4.4777,1.7174,17.076,74.8777,55.5511
30,EMLex ,EMLex - EuropÃ_ischer Master fÃ_r Lexikographie / European Master in Lexicography,http://www.emlex.phil.uni-erlangen.de/,Karoli Gaspar University of the Reformed Church in Hungary,Hungary,Budapest,47.4979,19.0402,-10.5448,-35.9321,21.0402,54.1548
31,EMMCMSP,EMMCMSP - Erasmus Mundus Master Course on Maritime Spatial Planning,http://www.iuav.it/Didattica1/master/master---I1/Erasmus-Mu/,IUAV University of Venice,Italy,Venice,45.4408,12.3155,-27.6806,35.3891,14.3155,47.4408
32,EMM-Nano,EMM-Nano - Erasmus Mundus Master in Nanoscience and Nanotechnology,http://www.emm-nano.org/,Catholic University of Leuven,Belgium,Leuven,50.8798,4.7005,2.7005,43.1885,15.7373,59.7089
33,EMPHID,EMPHID - Public Health in Disasters,http://www.pubhealthdisasters.eu/,Karolinska Institute,Sweden,Solna,59.3689,18.0084,-7.8494,41.3619,20.0084,61.3689
34,EMQAL,EMQAL - European Joint Master in Quality in Analytical Laboratories,http://www.emqal.org/,University of Algarve,Portugal,Faro,37.0194,-7.9304,-9.9304,34.5271,20.6466,62.3913
35,EM-SANF,EM-SANF - Erasmus Mundus Master Course Sustainable Animal Nutrition and Feeding,http://www.emsanf.eu/UK/,Purpan Engineering School,France,Toulouse,43.6047,1.4442,-0.5558,41.6047,23.6273,58.1629
36,EMSD,EMSD - European Master programme in Systems Dynamics,http://www.europeansystemdynamics.eu/,University of Bergen,Norway,Bergen,60.3913,5.3221,-11.1393,36.1157,15.3613,62.3913
37,EMSE,EMSE - European Masters Programme in Software Engineering,http://em-se.eu/,Free University of Bozen-Bolzano,Italy,Bolzano,46.4983,11.3548,-5.7038,38.4168,27.4651,67.0121
38,EMSHIP,EMSHIP - European Education in Advanced Ship Design,http://www.emship.eu/,University of LiÃ¨ge,Belgium,LiÃ¨ge,50.5831,5.5591,-3.5536,42.4056,30.008,56.0924
39,EMTM,EMTM - European Master in Tourism Management,http://www.emtmmaster.net/,University of Southern Denmark,Denmark,Kolding,55.496,9.4731,0.8214,39.9794,16.5058,57.496
40,EPOG,"EPOG - Master's Course - Economic Policies in the age of Globalisation : knowledge, finance and development",http://www.epog.eu/,University of Paris XIII-Nord,France,Paris,48.8566,2.3522,-2.3007,-28.2041,30.0473,54.52
41,EUCOMOR,EUCOMOR - European Master in Comparative Morphology,http://www.eucomor.net/,University of Antwerp,Belgium,Antwerp,51.2194,4.4025,2.4025,38.8518,18.9252,54.4064
42,EUROCULTURE,"EUROCULTURE - Society, Politics and Culture in a Global Context",https://www.euroculturemaster.eu/,University of Groningen,Netherlands,Groningen,53.2194,6.5665,-104.5528,16.5204,137.5022,61.8586
43,EUROPHILOSOPHIE,EUROPHILOSOPHIE - Philosophies allemande et franÂçaise dans lâ€™espace europÃ©en,http://europhilomem.hypotheses.org/,University of Toulouse Jean-Jaures,France,Toulouse,43.6047,1.4442,-92.049,-24.0087,141.6917,53.2562
44,EUROPHOTONICS,"EUROPHOTONICS - Master in Photonics Engineering, Nanophotonics and Biophotonics",http://www.europhotonics.org/wordpress/,University of Aix-Marseille III Paul Cezanne,France,Marseille,43.2965,5.3698,0.1734,39.3851,27.2797,56.6872
45,EU4M - EMMC,EU4M - EMMC Mechatronic Engineering,http://www.eu4m.eu/,University of Oviedo,Spain,Oviedo,43.3619,-5.8494,-7.8494,28.0131,42.9766,59.0051
46,EUPADRA,EUPADRA - PARLIAMENTARY PROCEDURES AND LEGISLATIVE DRAFTING,http://eupadra.eu/,Free International University of Social Studies,Italy,Rome,41.9028,12.4964,-5.7038,38.4168,14.4964,53.5074
47,EWEM,EWEM - European Wind Energy Master,http://www.windenergymaster.eu/,Delft University of Technology,Netherlands,Delft,52.0116,4.3571,2.3571,50.0116,14.4949,65.4305
48,FAME,FAME - Functionalised Advanced Materials and Engineering,http://www.fame-master.com/,University of Bordeaux 1,France,Bordeaux,44.8378,-0.5792,-10.6538,38.6405,12.8978,52.8798
49,GroundwatCH,GroundwatCH - Groundwater and Global Change - Impacts and Adaptation,http://www.groundwatermaster.eu/,Technical Institute of Lisbon,Portugal,Lisbon,38.7223,-9.1393,-11.1393,36.7223,15.7373,54.0116
50,GEMMA,GEMMA - Master's Degree in Women's and Gender Studies,http://masteres.ugr.es/gemma/,University of Granada,Spain,Granada,37.1773,-3.5986,-76.4518,35.1773,21.456,55.7457
51,GeoTech,GeoTech - Master of Science in Geospatial Technologies,http://mastergeotech.info/,University of MÃ_nster,Germany,MÃ_nster,51.9607,7.6261,-11.1393,36.7223,9.6261,53.9607
52,GLOBED,GLOBED Erasmus Mundus Joint Master Degree on Education Policies for Global Development,http://globed.eu/,Autonomous University of Barcelona,Spain,Barcelona,41.3851,2.1734,0.1734,33.8956,16.4869,61.9139
53,IMAE,IMAE - International Master in Applied Ecology,http://www.emmc-imae.org/,University of Poitiers,France,Poitiers,46.5802,0.3404,-53.2177,-32.0346,12.1228,56.3233
54,IMAESC,IMAESC - International Master in Adult Education for Social Change,http://www.gla.ac.uk/postgraduate/erasmusmundus/imaesc/,University of Glasgow,UK,Glasgow,55.8642,-4.2518,-6.2518,33.8956,26.7536,61.437
55,IMFSE,IMFSE - International Master of Science in Fire Safety Engineering,http://www.imfse.ugent.be/,Ghent University,Belgium,Ghent,51.0543,3.7174,-5.1883,49.0543,15.191,57.9533
56,IMIM,IMIM - International Master in Industrial Management,http://www.imim.polimi.it/,Technical University of Madrid,Spain,Madrid,40.4168,-3.7038,-5.7038,38.4168,13.582,57.9533
57,IMIM Med,IMIM - International Master in Innovative Medicine,http://www.innovativemedicine.eu/,University of Groningen,The Netherlands,Groningen,53.2194,6.5665,4.5665,47.3988,19.6389,61.8586
58,IMQP,IMQP - Erasmus Mundus Master in Quaternary and Prehistory,https://sites.google.com/a/unife.it/quaternary-prehistory/,University of Ferrara,Italy,Ferrara,44.8381,11.6198,-10.4043,37.6052,13.6198,50.8566
59,IMRCEES,"IMRCEES - International Masters in Russian, Central and East European Studies",http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/,Jagiellonian University,Poland,Krakow,50.0647,19.945,-6.2518,39.7151,78.8512,60.3776
60,IMRD,IMRD - International Master of Science in Rural Development,http://www.imrd.ugent.be/,Slovak University of Agriculture in Nitra,Slovakia,Nitra,48.3061,18.0764,-3.6778,41.7228,20.0764,54.52
61,IT4BI,IT4BI - Information Technologies for Business Intelligence,http://it4bi.univ-tours.fr/,Free University of Brussels,Belgium,Brussels,50.8503,4.3517,-1.3152,39.3851,15.405,54.52
62,JEMES,JEMES - Joint European Master Programme in Environmental Studies,http://www.jemes-cisu.eu/,Technical University of Hamburg-Harburg,Germany,Hamburg,53.5511,9.9937,-10.6538,38.6405,11.9937,59.0488
63,KINOEYES | KEM,KINOEYES | KEM - The European Movie Masters,http://www.kinoeyes.eu/,Lusofona University,Portugal,Lisbon,38.7223,-9.1393,-11.1393,36.7223,26.7536,61.437
