"","CITY","COURSE1","COURSE2","COURSE3","COURSE4","COURSE5","COURSE6","COURSE7","COURSE8","COURSE9","COURSE10","COURSE11","COURSE12","COURSE13","COURSE14","COURSE15","COURSE16","COURSE17","COURSE18","COURSE19","COURSE20","LON","LAT","WEBSITE1","WEBSITE2","WEBSITE3","WEBSITE4","WEBSITE5","WEBSITE6","WEBSITE7","WEBSITE8","WEBSITE9","WEBSITE10","WEBSITE11","WEBSITE12","WEBSITE13","WEBSITE14","WEBSITE15","WEBSITE16","WEBSITE17","WEBSITE18","WEBSITE19","WEBSITE20","STATUS1","STATUS2","STATUS3","STATUS4","STATUS5","STATUS6","STATUS7","STATUS8","STATUS9","STATUS10","STATUS11","STATUS12","STATUS13","STATUS14","STATUS15","STATUS16","STATUS17","STATUS18","STATUS19","STATUS20"
"1","Aalborg","ADVANCES","DCLead","Media AC","","","","","","","","","","","","","","","","","","9.921747","57.0488195","http://www.socialworkadvances.org/","http://www.dclead.eu/","http://www.mediaartscultures.eu/","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"2","Aarhus","EM-SANF","","","","","","","","","","","","","","","","","","","","10.2039","56.1629","http://www.emsanf.eu/UK/","","","","","","","","","","","","","","","","","","","","D/C","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"3","Aix-en-Provence","EMLE","","","","","","","","","","","","","","","","","","","","5.447427","43.529742","http://www.emle.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"4","Algarve","IMBRSea","","","","","","","","","","","","","","","","","","","","-7.930834","37.0179538","http://www.imbrsea.eu/","","","","","","","","","","","","","","","","","","","","NEW","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"5","Almaty","IMRCEES","","","","","","","","","","","","","","","","","","","","76.8512485","43.2220146","http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"6","Alnarp","SUFONAMA","","","","","","","","","","","","","","","","","","","","13.0824","55.6576","http://sufonama.eu/","","","","","","","","","","","","","","","","","","","","D/C","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"7","Amsterdam","ATOSIM","ATOSIM","GLOBED","MUNDUS JOURNALISM","NEURASMUS","","","","","","","","","","","","","","","","4.8951679","52.3702157","http://www.erasmusmundus-atosim.cecam.org/","http://www.erasmusmundus-atosim.cecam.org/","http://globed.eu/","http://www.mundusjournalism.com/","www.neurasmus.u-bordeaux2.fr","","","","","","","","","","","","","","","","D/C","D/C","","","NEW","","","","",NA,"","","","",NA,"",NA,NA,"",""
"8","Ancona","IMBRSea","","","","","","","","","","","","","","","","","","","","13.518915","43.6158299","http://www.imbrsea.eu/","","","","","","","","","","","","","","","","","","","","NEW","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"9","Angers","NANOMED","","","","","","","","","","","","","","","","","","","","-0.563166","47.478419","http://master-nanomed.eu/","","","","","","","","","","","","","","","","","","","","NEW","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"10","Ankara","MEEES","","","","","","","","","","","","","","","","","","","","32.8597419","39.9333635","http://www.meees.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"11","Antwerp","MEGEI","EUCOMOR","LIVE","","","","","","","","","","","","","","","","","","4.4024643","51.2194475","http://www.ua.ac.be/egei","http://www.eucomor.net/","http://live.univ-lyon1.fr/","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"12","Augsburg","FAME","","","","","","","","","","","","","","","","","","","","10.8978","48.3705","http://www.fame-master.com/","","","","","","","","","","","","","","","","","","","","D/C","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"13","Aveiro","FAME","","","","","","","","","","","","","","","","","","","","-8.6538","40.6405","http://www.fame-master.com/","","","","","","","","","","","","","","","","","","","","D/C","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"14","Baltimore","WOP-P","","","","","","","","","","","","","","","","","","","","-76.6121893","39.2903848","https://www.erasmuswop.org","","","","","","","","","","","","","","","","","","","","NEW","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
"15","Bangor","SUFONAMA","","","","","","","","","","","","","","","","","","","","-4.1239","53.2274","http://sufonama.eu/","","","","","","","","","","","","","","","","","","","","D/C","","","","","","","","",NA,"","","","",NA,"",NA,NA,"",""
