"","code","xmin","ymin","xmax","ymax"
"1","4CITIES",-5.7038,3.6761,18.3738,52.8503
"2","ACES",-7.471,33.3387,27.1442,58.4152
"3","ADVANCES",-11.1393,36.7223,23.0122,59.0488
"4","AMASE",0.1734,39.3851,24.1567,67.5848
"5","ARCHMAT",-9.9093,36.5707,24.9444,43.9028
"6","ASC",1.0573,42.4949,26.9384,62.1699
"7","ASTROMUNDUS",-0.5959,39.9028,22.4489,53.5413
"8","ATOSIM",2.8357,39.9028,14.4964,54.3702
"9","BIFTEC",-10.6291,39.1579,13.7537,53.7834
"10","CARTO",4.8937,46.1351,18.3738,54.2215
"11","ChIR",-9.9304,35.0194,13.3426,57.9533
"12","CLE",-19.366,12.7645,24.9444,50.5734
"13","CoDe",9.1217,44.0569,21.0402,51.0134
"14","CoMEM",-3.4044,39.3851,12.3951,65.4305
"15","COSI",-5.5986,35.1773,31.7636,64.601
"16","DCLead",2.3517,45.8095,15.055,59.0488
"17","Dyclam",-10.4043,37.6052,16.2681,50.8566
"18","EACH",2.8357,43.764,24.2666,62.4518
"19","EM HRPP",-4.935,41.263,13.9746,59.7089
"20","EMARO+",-3.5536,37.9864,23.0122,54.2297
"21","EMECS",-3.4044,47.4401,12.3951,65.4305
"22","EMERALD",3.5591,46.6921,24.1567,67.5848
"23","EMGS",-2.1278,46.2082,19.0385,57.6419
"24","EMLE",1.7174,17.076,74.8777,55.5511
"25","EMLex ",-10.5448,-35.9321,21.0402,54.1548
"26","EMMCMSP",-27.6806,35.3891,14.3155,47.4408
"27","EMM-Nano",2.7005,43.1885,15.7373,59.7089
"28","EMPHID",-7.8494,41.3619,20.0084,61.3689
"29","EMQAL",-9.9304,34.5271,20.6466,62.3913
"30","EMSD",-11.1393,36.1157,15.3613,62.3913
"31","EMSE",-5.7038,38.4168,27.4651,67.0121
"32","EMSHIP",-3.5536,42.4056,30.008,56.0924
"33","EMTM",0.8214,39.9794,16.5058,57.496
"34","EPOG",-2.3007,-28.2041,30.0473,54.52
"35","EUCOMOR",2.4025,38.8518,18.9252,54.4064
"36","EUROPHOTONICS",0.1734,39.3851,27.2797,56.6872
"37","EU4M - EMMC",-7.8494,28.0131,42.9766,59.0051
"38","EUPADRA",-5.7038,38.4168,14.4964,53.5074
"39","GroundwatCH",-11.1393,36.7223,15.7373,54.0116
"40","GeoTech",-11.1393,36.7223,9.6261,53.9607
"41","GLOBED",0.1734,33.8956,16.4869,61.9139
"42","IMAE",-53.2177,-32.0346,12.1228,56.3233
"43","IMAESC",-6.2518,33.8956,26.7536,61.437
"44","IMFSE",-5.1883,49.0543,15.191,57.9533
"45","IMIM",-5.7038,38.4168,13.582,57.9533
"46","IMIM Med",4.5665,47.3988,19.6389,61.8586
"47","IMQP",-10.4043,37.6052,13.6198,50.8566
"48","IMRCEES",-6.2518,39.7151,78.8512,60.3776
"49","IMRD",-3.6778,41.7228,20.0764,54.52
"50","KINOEYES | KEM",-11.1393,36.7223,26.7536,61.437
"51","LCT",-3.9812,33.8956,16.4869,55.2194
"52","LIVE",0.1734,39.3851,6.8357,53.2194
"53","MAIA",0.8214,39.4908,15.8334,49.322
"54","MAMASELF",-3.6778,41.6108,13.582,50.1351
"55","MATHMODS",0.1734,39.3851,20.6466,56.352
"56","MCM",-5.9436,39.3851,11.1829,53.6214
"57","ME3",-7.9301,38.4168,21.0402,61.3293
"58","Media AC",7.9217,20.3964,116.1095,59.0488
"59","MEEES",3.7245,36.2466,34.8597,54.401
"60","MEGEI",-49.8822,-17.7942,18.8719,55.0027
"61","MEME",-73.1097,40.3736,19.6389,61.8586
"62","MEREMMC",-4.9901,41.3267,7.5591,52.9097
"63","MFAMILY",-11.1393,-1.6524,34.5825,60.97
"64","MIM",0.1734,39.3851,14.3155,47.4408
"65","MONABIP",-5.7038,38.4168,19.0385,53.1079
