X,Y,code,status,title,website,uni,country,city,lat,lon
-3.7037902,40.4167754,4CITIES,,UNICA Euromaster in Urban Studies,http://www.4cities.eu/,Complutense University of Madrid,Spain,Madrid,40.4167754,-3.7037902
4.3517103,50.8503396,4CITIES,,UNICA Euromaster in Urban Studies,http://www.4cities.eu/,Free University of Brussels,Belgium,Brussels,50.8503396,4.3517103
16.3738189,48.2081743,4CITIES,,UNICA Euromaster in Urban Studies,http://www.4cities.eu/,University of Vienna,Austria,Vienna,48.2081743,16.3738189
12.5683371,55.6760968,4CITIES,,UNICA Euromaster in Urban Studies,http://www.4cities.eu/,University of Copenhagen,Denmark,Copenhagen,55.6760968,12.5683371
-3.7037902,40.4167754,4CITIES,,UNICA Euromaster in Urban Studies,http://www.4cities.eu/,Autonomous University of Madrid,Spain,Madrid,40.4167754,-3.7037902
25.1442126,35.3387352,ACES,,"Joint Masters Degree in Aquaculture, Environment and Society",http://www.sams.ac.uk/aces-erasmus,University of Crete,Greece,Heraklion,35.3387352,25.1442126
-5.471047,56.415157,ACES,,"Joint Masters Degree in Aquaculture, Environment and Society",http://www.sams.ac.uk/aces-erasmus,University of the Highlands and Islands,UK,Oban,56.415157,-5.471047
-1.553621,47.218371,ACES,,"Joint Masters Degree in Aquaculture, Environment and Society",http://www.sams.ac.uk/aces-erasmus,University of Nantes,France,Nantes,47.218371,-1.553621
-9.1393366,38.7222524,ADVANCES,,MA Advanced Development in Social Work,http://www.socialworkadvances.org/,University of Lisbon,Portugal,Lisbon,38.7222524,-9.1393366
2.3522219,48.856614,ADVANCES,,MA Advanced Development in Social Work,http://www.socialworkadvances.org/,Universit̩ Paris Ouest Nanterre La D̩fense,France,Paris,48.856614,2.3522219
9.921747,57.0488195,ADVANCES,,MA Advanced Development in Social Work,http://www.socialworkadvances.org/,Aalborg University,Denmark,Aalborg,57.0488195,9.921747
21.0122287,52.2296756,ADVANCES,,MA Advanced Development in Social Work,http://www.socialworkadvances.org/,Warsaw University,Poland,Warsaw,52.2296756,21.0122287
-0.540579,53.230688,ADVANCES,,MA Advanced Development in Social Work,http://www.socialworkadvances.org/,University of Lincoln,UK,Lincoln,53.230688,-0.540579
2.1734035,41.3850639,AMASE,,Joint European Master Programme on Advanced Materials Science and Engineering,http://www.amase-master.net/,Polytechnic University of Catalonia - BarcelonaTech,Spain,Barcelona,41.3850639,2.1734035
6.184417,48.692054,AMASE,,Joint European Master Programme on Advanced Materials Science and Engineering,http://www.amase-master.net/,University of Lorraine,France,Nancy,48.692054,6.184417
6.9969327,49.2401572,AMASE,,Joint European Master Programme on Advanced Materials Science and Engineering,http://www.amase-master.net/,Saarland University,Germany,Saarbrücken,49.2401572,6.9969327
22.1567026,65.584819,AMASE,,Joint European Master Programme on Advanced Materials Science and Engineering,http://www.amase-master.net/,Lulea Technology University,Sweden,Lulea,65.584819,22.1567026
22.9444191,40.6400629,ARCHMAT,,European Master in ARCHaeological MATerials Science,http://www.erasmusmundus-archmat.uevora.pt/,Aristotle University of Thessaloniki,Greece,Thessaloniki,40.6400629,22.9444191
12.4963655,41.9027835,ARCHMAT,,European Master in ARCHaeological MATerials Science,http://www.erasmusmundus-archmat.uevora.pt/,Sapienza University,Italy,Rome,41.9027835,12.4963655
-7.9093074,38.5707119,ARCHMAT,,European Master in ARCHaeological MATerials Science,http://www.erasmusmundus-archmat.uevora.pt/,University of Evora,Portugal,Evora,38.5707119,-7.9093074
3.057256,50.62925,ASC,,Advanced Spectroscopy in Chemistry Master's Course,http://www.master-asc.org/,Lille1 University,France,Lille,50.62925,3.057256
19.9449799,50.0646501,ASC,,Advanced Spectroscopy in Chemistry Master's Course,http://www.master-asc.org/,Jagiellonian University,Poland,Krakow,50.0646501,19.9449799
11.3426163,44.494887,ASC,,Advanced Spectroscopy in Chemistry Master's Course,http://www.master-asc.org/,University of Bologna,Italy,Bologna,44.494887,11.3426163
24.938379,60.1698557,ASC,,Advanced Spectroscopy in Chemistry Master's Course,http://www.master-asc.org/,University of Helsinki,Finland,Helsinki,60.1698557,24.938379
12.3730747,51.3396955,ASC,,Advanced Spectroscopy in Chemistry Master's Course,http://www.master-asc.org/,University Leipzig,Germany,Leipzig,51.3396955,12.3730747
20.4489216,44.786568,ASTROMUNDUS,,Astrophysics,http://www.astromundus.eu/,University of Belgrade,Serbia,Belgrade,44.786568,20.4489216
9.9158035,51.5412804,ASTROMUNDUS,,Astrophysics,http://www.astromundus.eu/,University of Göttingen,Germany,Göttingen,51.5412804,9.9158035
11.4041024,47.2692124,ASTROMUNDUS,,Astrophysics,http://www.astromundus.eu/,University of Innsbruck,Austria,Innsbruck,47.2692124,11.4041024
11.8767611,45.4064349,ASTROMUNDUS,,Astrophysics,http://www.astromundus.eu/,University of Padova,Italy,Padova,45.4064349,11.8767611
12.4963655,41.9027835,ATOSIM,DISCONTINUED,"Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems",http://www.erasmusmundus-atosim.cecam.org/,Sapienza University,Italy,Rome,41.9027835,12.4963655
4.8951679,52.3702157,ATOSIM,DISCONTINUED,"Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems",http://www.erasmusmundus-atosim.cecam.org/,Free University of Amsterdam,Netherlands,Amsterdam,52.3702157,4.8951679
4.835659,45.764043,ATOSIM,DISCONTINUED,"Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems",http://www.erasmusmundus-atosim.cecam.org/,University of Lyon,France,Lyon,45.764043,4.835659
4.8951679,52.3702157,ATOSIM,DISCONTINUED,"Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems",http://www.erasmusmundus-atosim.cecam.org/,University of Amsterdam,Netherlands,Amsterdam,52.3702157,4.8951679
5.490714,51.4486098,BDMA,NEW,Big Data Management and Analytics,http://bdma.univ-tours.fr/bdma/,University of Technology Einhoven,the Netherlands,Einhoven,51.4486098,5.490714
4.3517103,50.8503396,BDMA,NEW,Big Data Management and Analytics,http://bdma.univ-tours.fr/bdma/,Free University of Brussels,Belgium,Brussels,50.8503396,4.3517103
2.1734035,41.3850639,BDMA,NEW,Big Data Management and Analytics,http://bdma.univ-tours.fr/bdma/,Polytechnic University of Catalonia,Spain,Barcelona,41.3850639,2.1734035
0.6738728,47.3838055,BDMA,NEW,Big Data Management and Analytics,http://bdma.univ-tours.fr/bdma/,Université François Rabelais,France,Tours cedex 1,47.3838055,0.6738728
11.7537327,51.7833579,BIFTEC,,"European Master of Science in Food Science, Technology and Business",http://www.fet.kuleuven.be/biftec,Anhalt University of Applied Sciences,Germany,Bernburg,51.7833579,11.7537327
3.7174243,51.0543422,BIFTEC,,"European Master of Science in Food Science, Technology and Business",http://www.fet.kuleuven.be/biftec,University of Leuven,Belgium,Ghent,51.0543422,3.7174243
-8.6291053,41.1579438,BIFTEC,,"European Master of Science in Food Science, Technology and Business",http://www.fet.kuleuven.be/biftec,Catholic University of Portugal,Portugal,Porto,41.1579438,-8.6291053
11.5819806,48.1351253,CARTO,,CARTO E+ JMD Cartography,http://www.cartographymaster.eu/,Technical University of Munich,Germany,Munich,48.1351253,11.5819806
16.3738189,48.2081743,CARTO,,CARTO E+ JMD Cartography,http://www.cartographymaster.eu/,Vienna University of Technology,Austria,Vienna,48.2081743,16.3738189
13.7372621,51.0504088,CARTO,,CARTO E+ JMD Cartography,http://www.cartographymaster.eu/,Dresden University of Technology,Germany,Dresden,51.0504088,13.7372621
6.8936619,52.2215372,CARTO,,CARTO E+ JMD Cartography,http://www.cartographymaster.eu/,University of Twente,Netherlands,Enschede,52.2215372,6.8936619
-3.188267,55.953252,ChIR,,Erasmus Mundus Master in Chemical Innovation and Regulation,http://www.emmcchir.org/,Heriot Watt University,UK,Edinburgh,55.953252,-3.188267
-7.9374948,37.0103271,ChIR,,Erasmus Mundus Master in Chemical Innovation and Regulation,http://www.emmcchir.org/,University of Algarve,Portugal,Faro,37.0103271,-7.9374948
11.3426163,44.494887,ChIR,,Erasmus Mundus Master in Chemical Innovation and Regulation,http://www.emmcchir.org/,University of Bologna,Italy,Bologna,44.494887,11.3426163
2.1734035,41.3850639,ChIR,,Erasmus Mundus Master in Chemical Innovation and Regulation,http://www.emmcchir.org/,University of Barcelona,Spain,Barcelona,41.3850639,2.1734035
22.9444191,40.6400629,CLE,,Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes,http://www.cle.unibo.it/site/,Aristotle University of Thessaloniki,Greece,Thessaloniki,40.6400629,22.9444191
7.7521113,48.5734053,CLE,,Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes,http://www.cle.unibo.it/site/,University of Strasbourg,France,Strasbourg,48.5734053,7.7521113
11.3426163,44.494887,CLE,,Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes,http://www.cle.unibo.it/site/,University of Bologna,Italy,Bologna,44.494887,11.3426163
7.335888,47.750839,CLE,,Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes,http://www.cle.unibo.it/site/,University of Upper Alsace,France,Mulhouse,47.750839,7.335888
-17.3660286,14.7645042,CLE,,Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes,http://www.cle.unibo.it/site/,Cheikh Anta Diop University,Senegal,Dakar,14.7645042,-17.3660286
19.040235,47.497912,CoDe,,Joint European Master in Comparative Local Development,http://www.erasmusmundus-code.eu/,Corvinus University of Budapest,Hungary,Budapest,47.497912,19.040235
14.5057515,46.0569465,CoDe,,Joint European Master in Comparative Local Development,http://www.erasmusmundus-code.eu/,University of Ljubljana,Slovenia,Ljubljana,46.0569465,14.5057515
12.1016236,49.0134297,CoDe,,Joint European Master in Comparative Local Development,http://www.erasmusmundus-code.eu/,University of Regensburg,Germany,Regensburg,49.0134297,12.1016236
11.1217486,46.0747793,CoDe,,Joint European Master in Comparative Local Development,http://www.erasmusmundus-code.eu/,University of Trento,Italy,Trento,46.0747793,11.1217486
-1.4043509,50.9097004,CoMEM,,Erasmus Mundus MSC Coastal and Marine Engineering and Management,http://www.ntnu.edu/studies/mscomem,University of Southampton,UK,Southampton,50.9097004,-1.4043509
2.1734035,41.3850639,CoMEM,,Erasmus Mundus MSC Coastal and Marine Engineering and Management,http://www.ntnu.edu/studies/mscomem,Technical University of Catalonia Barcelona Tech,Spain,Barcelona,41.3850639,2.1734035
10.3950528,63.4305149,CoMEM,,Erasmus Mundus MSC Coastal and Marine Engineering and Management,http://www.ntnu.edu/studies/mscomem,Norwegian University of Science and Technology,Norway,Trondheim,63.4305149,10.3950528
-0.1277583,51.5073509,CoMEM,,Erasmus Mundus MSC Coastal and Marine Engineering and Management,http://www.ntnu.edu/studies/mscomem,"City, University of London",UK,London,51.5073509,-0.1277583
4.3570677,52.0115769,CoMEM,,Erasmus Mundus MSC Coastal and Marine Engineering and Management,http://www.ntnu.edu/studies/mscomem,Delft University of Technology,Netherlands,Delft,52.0115769,4.3570677
29.7635719,62.6010155,COSI,,COSI Colour in Science and Industry,http://www.master-colorscience.eu/,University of Eastern Finland,Finland,Joensuu,62.6010155,29.7635719
-3.5985571,37.1773363,COSI,,COSI Colour in Science and Industry,http://www.master-colorscience.eu/,University of Granada,Spain,Granada,37.1773363,-3.5985571
4.3871779,45.439695,COSI,,COSI Colour in Science and Industry,http://www.master-colorscience.eu/,University Jean Monnet,France,Saint-Etienne,45.439695,4.3871779
10.6916303,60.7954302,COSI,,COSI Colour in Science and Industry,http://www.master-colorscience.eu/,Gjovik University College,Norway,Gjovik,60.7954302,10.6916303
9.6773,45.6983,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,University of Bergamo,Italy,Bergamo,45.6983,9.6773
2.8948,42.6887,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,University of Perpignan Via Domita,France,Perpignan,42.6887,2.8948
-9.1393,38.7223,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,New University of Lisbon,Portugal,Lisbon,38.7223,-9.1393
-8.5448,42.8782,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,University of Santiago de Compostela,Spain,Santiago de Compostela,42.8782,-8.5448
-2.7967,56.3398,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,University of St. Andrews,UK,St. Andrews,56.3398,-2.7967
-1.4701,53.3811,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,University of Sheffield,UK,Sheffield,53.3811,-1.4701
16.9252,52.4064,CWCN,DISCONTINUED,CWCN - Crossways in Cultural Narratives,http://www.munduscrossways.eu/,Adam Mickiewicz University Poznań,Poland,Poznań,52.4064,16.9252
4.3517103,50.8503396,DCLead,,Msc Digital Communication Leadership,http://www.dclead.eu/,Free University of Brussel,Belgium,Brussels,50.8503396,4.3517103
9.921747,57.0488195,DCLead,,Msc Digital Communication Leadership,http://www.dclead.eu/,Aalborg University,Denmark,Aalborg,57.0488195,9.921747
13.05501,47.80949,DCLead,,Msc Digital Communication Leadership,http://www.dclead.eu/,University of Salzburg,Austria,Salzburg,47.80949,13.05501
14.2681244,40.8517746,Dyclam,,Dynamics of cultural landscapes and heritage management,http://www.dyclam.eu/fr/,University of Naples Federico II,Italy,Napoli,40.8517746,14.2681244
4.3871779,45.439695,Dyclam,,Dynamics of cultural landscapes and heritage management,http://www.dyclam.eu/fr/,University Jean Monnet,France,Saint-Etienne,45.439695,4.3871779
2.3522219,48.856614,Dyclam,,Dynamics of cultural landscapes and heritage management,http://www.dyclam.eu/fr/,National Museum of Natural History,France,Paris,48.856614,2.3522219
9.1829321,48.7758459,Dyclam,,Dynamics of cultural landscapes and heritage management,http://www.dyclam.eu/fr/,University of Stuttgart,Germany,Stuttgart,48.7758459,9.1829321
-8.4042526,39.6052067,Dyclam,,Dynamics of cultural landscapes and heritage management,http://www.dyclam.eu/fr/,Polytechnic Institute of Tomar,Portugal,Tomar,39.6052067,-8.4042526
26.7290063,58.3776252,EACH,,Excellence in Analytical Chemistry,http://www.analyticalchemistry.eu/,University of Tartu,Estonia,Tartu,58.3776252,26.7290063
22.2666303,60.4518126,EACH,,Excellence in Analytical Chemistry,http://www.analyticalchemistry.eu/,Abo Akademi University,Finland,Turku,60.4518126,22.2666303
17.6389267,59.8585638,EACH,,Excellence in Analytical Chemistry,http://www.analyticalchemistry.eu/,Uppsala University,Sweden,Uppsala,59.8585638,17.6389267
4.835659,45.764043,EACH,,Excellence in Analytical Chemistry,http://www.analyticalchemistry.eu/,University Claude Bernard Lyon 1,France,Lyon,45.764043,4.835659
-0.8897,41.6489,EDAMUS,DISCONTINUED,EDAMUS - Sustainable Management of Food Quality,http://www.master-edamus.eu/,The Mediterranean Agronomic Institute of Zaragoza,Spain,Zaragoza,41.6489,-0.8897
3.8767,43.6108,EDAMUS,DISCONTINUED,EDAMUS - Sustainable Management of Food Quality,http://www.master-edamus.eu/,University of Montpellier,France,Montpellier,43.6108,3.8767
24.018,35.5138,EDAMUS,DISCONTINUED,EDAMUS - Sustainable Management of Food Quality,http://www.master-edamus.eu/,The Mediterranean Agronomic Institute of Chania,Greece,Chania,35.5138,24.018
15.8055,40.6464,EDAMUS,DISCONTINUED,EDAMUS - Sustainable Management of Food Quality,http://www.master-edamus.eu/,University of Basilicata,Italy,Potenza,40.6464,15.8055
6.6424,36.3602,EDAMUS,DISCONTINUED,EDAMUS - Sustainable Management of Food Quality,http://www.master-edamus.eu/,University of Mentouri (Constantine 1),Algiers,Constantine,36.3602,6.6424
10.2039,56.1629,EM-SANF,DISCONTINUED,EM-SANF - Erasmus Mundus Master Course Sustainable Animal Nutrition and Feeding,http://www.emsanf.eu/UK/,Aarhus University,Denmark,Aarhus,56.1629,10.2039
5.6654,51.9692,EM-SANF,DISCONTINUED,EM-SANF - Erasmus Mundus Master Course Sustainable Animal Nutrition and Feeding,http://www.emsanf.eu/UK/,Wageningen University,Netherlands,Wageningen,51.9692,5.6654
1.4442,43.6047,EM-SANF,DISCONTINUED,EM-SANF - Erasmus Mundus Master Course Sustainable Animal Nutrition and Feeding,http://www.emsanf.eu/UK/,Purpan Engineering School,France,Toulouse,43.6047,1.4442
21.6273,47.5316,EM-SANF,DISCONTINUED,EM-SANF - Erasmus Mundus Master Course Sustainable Animal Nutrition and Feeding,http://www.emsanf.eu/UK/,University of Debrecen,Hungary,Debrecen,47.5316,21.6273
11.97456,57.70887,EM HRPP,,Erasmus Mundus Masters in Human Rights Policy and Practice,http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html,University of Gothenburg,Sweden,Gothenburg,57.70887,11.97456
-0.1277583,51.5073509,EM HRPP,,Erasmus Mundus Masters in Human Rights Policy and Practice,http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html,Roehampton University,UK,London,51.5073509,-0.1277583
-2.9349852,43.2630126,EM HRPP,,Erasmus Mundus Masters in Human Rights Policy and Practice,http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html,University of Deusto,Spain,Bilbao,43.2630126,-2.9349852
1.444209,43.604652,EM3E4SW,NEW,Erasmus Mundus Master in Membrane Engineering for a Sustainable World,http://em3e-4sw.eu/em3e/index.php,Université Toulouse 3 Paul Sabatier,France,Toulouse,43.604652,1.444209
14.4378005,50.0755381,EM3E4SW,NEW,Erasmus Mundus Master in Membrane Engineering for a Sustainable World,http://em3e-4sw.eu/em3e/index.php,University of Chemistry and Technology Prague,Czech Republic,Prague,50.0755381,14.4378005
